n;p_ind;likelihood;time;prior
100;50;ALA;2.07;0.5
200;50;ALA;2.64;0.5
300;50;ALA;3.23;0.5
400;50;ALA;3.67;0.5
500;50;ALA;4.28;0.5
600;50;ALA;4.33;0.5
700;50;ALA;4.49;0.5
800;50;ALA;4.77;0.5
900;50;ALA;5.23;0.5
1000;50;ALA;5.39;0.5
1250;50;ALA;6.73;0.5
1500;50;ALA;7.7;0.5
1750;50;ALA;8.3;0.5
2000;50;ALA;9.44;0.5
2250;50;ALA;9.92;0.5
2500;50;ALA;11.19;0.5
1500;10;ALA;3.86;0.5
1500;25;ALA;5.43;0.5
1500;75;ALA;9.16;0.5
1500;100;ALA;10.67;0.5
1500;125;ALA;14.46;0.5
1500;150;ALA;14.92;0.5
1500;175;ALA;15.9;0.5
1500;200;ALA;18.75;0.5
1500;225;ALA;19.57;0.5
1500;250;ALA;22.35;0.5
100;50;LA;21.11;0.5
200;50;LA;28.47;0.5
300;50;LA;33.82;0.5
400;50;LA;35.49;0.5
500;50;LA;36.39;0.5
600;50;LA;43.14;0.5
700;50;LA;41.26;0.5
800;50;LA;44.45;0.5
900;50;LA;44.64;0.5
1000;50;LA;49.7;0.5
1250;50;LA;53.55;0.5
1500;50;LA;60.58;0.5
1750;50;LA;62.63;0.5
2000;50;LA;56.78;0.5
2250;50;LA;75.69;0.5
2500;50;LA;76.57;0.5
1500;10;LA;36.04;0.5
1500;25;LA;43.42;0.5
1500;75;LA;61.58;0.5
1500;100;LA;73.27;0.5
1500;125;LA;75.39;0.5
1500;150;LA;77.54;0.5
1500;175;LA;92.59;0.5
1500;200;LA;91.04;0.5
1500;225;LA;97.45;0.5
1500;250;LA;103.56;0.5
